# Downloaded from https://figshare.com/articles/dataset/OKCupid_Datasets/14987388
d_age,d_gender,q36355,q45632,q49093,q45835,q12584
24,Woman,Yes.,No.,Utterly wrong.,Cloudy,Yes
20,Woman,No.,No.,Utterly wrong.,Cloudy,No
31,Woman,No.,No.,Utterly wrong.,Sun,Yes
26,Woman,No.,No.,Utterly wrong.,Sun,No
40,Man,No.,No.,Utterly wrong.,Rain,Yes
28,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
18,Woman,Yes.,No.,Utterly wrong.,Cloudy,No
36,Woman,Yes.,No.,Utterly wrong.,Snow,Yes
18,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
34,Man,No.,No.,Utterly wrong.,Rain,Yes
33,Man,No.,Yes.,Perfectly fine.,Sun,Yes
25,Woman,Yes.,No.,Not a subject I have an opinion on.,Snow,No
36,Man,No.,No.,Perfectly fine.,Sun,No
34,Man,No.,No.,Utterly wrong.,Sun,No
32,Woman,Yes.,No.,OK sometimes.,Sun,Yes
23,Woman,Yes.,No.,OK sometimes.,Sun,Yes
27,Woman,No.,No.,Utterly wrong.,Sun,Yes
34,Woman,No.,No.,Utterly wrong.,Rain,Yes
34,Woman,No.,No.,Utterly wrong.,Sun,No
31,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
39,Man,Yes.,No.,Utterly wrong.,Sun,Yes
46,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
27,Man,Yes.,Yes.,Utterly wrong.,Cloudy,Yes
28,Woman,No.,No.,Utterly wrong.,Snow,Yes
34,Man,No.,Yes.,OK sometimes.,Snow,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
33,Woman,Yes.,No.,OK sometimes.,Cloudy,Yes
22,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Rain,No
33,Woman,No.,No.,Utterly wrong.,Rain,Yes
29,Man,No.,No.,Utterly wrong.,Sun,No
28,Woman,No.,No.,Utterly wrong.,Sun,No
30,Woman,No.,No.,Utterly wrong.,Sun,Yes
34,Man,No.,No.,Utterly wrong.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,No
36,Man,No.,No.,Utterly wrong.,Sun,Yes
40,Woman,No.,No.,Utterly wrong.,Snow,No
29,Woman,No.,No.,Utterly wrong.,Sun,Yes
23,Woman,No.,No.,Not a subject I have an opinion on.,Snow,Yes
38,Man,No.,No.,Utterly wrong.,Sun,No
37,Man,No.,No.,OK sometimes.,Sun,Yes
26,Woman,No.,No.,Utterly wrong.,Rain,Yes
43,Man,Yes.,No.,Not a subject I have an opinion on.,Snow,Yes
26,Other,Yes.,No.,Utterly wrong.,Sun,Yes
28,Woman,No.,No.,Utterly wrong.,Snow,Yes
26,Woman,Yes.,No.,Perfectly fine.,Cloudy,Yes
31,Woman,No.,No.,Utterly wrong.,Sun,No
26,Woman,No.,No.,Utterly wrong.,Sun,Yes
38,Man,No.,No.,Utterly wrong.,Sun,Yes
27,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
24,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
22,Woman,No.,No.,Utterly wrong.,Sun,Yes
37,Woman,No.,No.,OK sometimes.,Sun,Yes
27,Woman,No.,Yes.,Utterly wrong.,Snow,Yes
25,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,No
23,Woman,Yes.,No.,OK sometimes.,Rain,Yes
24,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
30,Woman,Yes.,Yes.,Not a subject I have an opinion on.,Sun,Yes
47,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
44,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
27,Woman,No.,No.,Utterly wrong.,Rain,Yes
23,Woman,No.,No.,Utterly wrong.,Snow,Yes
23,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Sun,Yes
34,Man,Yes.,No.,Utterly wrong.,Cloudy,Yes
45,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,Yes.,No.,Utterly wrong.,Rain,No
30,Woman,No.,No.,Utterly wrong.,Sun,Yes
29,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
25,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
22,Woman,No.,No.,OK sometimes.,Sun,Yes
34,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
25,Woman,No.,No.,Utterly wrong.,Sun,No
27,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
22,Woman,No.,No.,Utterly wrong.,Sun,No
22,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
43,Man,No.,No.,Utterly wrong.,Sun,No
42,Man,No.,Yes.,Not a subject I have an opinion on.,Snow,No
29,Woman,Yes.,Yes.,Utterly wrong.,Sun,Yes
41,Woman,No.,No.,Utterly wrong.,Snow,Yes
27,Woman,No.,No.,Not a subject I have an opinion on.,Sun,No
40,Man,No.,No.,Utterly wrong.,Sun,Yes
45,Woman,No.,No.,Utterly wrong.,Sun,Yes
29,Woman,Yes.,No.,Not a subject I have an opinion on.,Snow,Yes
34,Woman,No.,No.,Utterly wrong.,Sun,Yes
26,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
24,Other,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Woman,No.,No.,Utterly wrong.,Rain,Yes
29,Woman,No.,Yes.,Utterly wrong.,Sun,Yes
28,Woman,No.,No.,OK sometimes.,Snow,No
29,Woman,Yes.,Yes.,Utterly wrong.,Sun,Yes
22,Woman,No.,No.,Utterly wrong.,Sun,Yes
27,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
42,Man,No.,No.,Utterly wrong.,Sun,Yes
24,Woman,No.,Yes.,Utterly wrong.,Cloudy,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
27,Woman,Yes.,Yes.,Not a subject I have an opinion on.,Snow,Yes
33,Woman,No.,No.,Utterly wrong.,Sun,Yes
23,Woman,Yes.,No.,Utterly wrong.,Cloudy,No
37,Woman,No.,No.,Utterly wrong.,Sun,Yes
31,Man,No.,No.,Utterly wrong.,Sun,Yes
25,Woman,No.,No.,OK sometimes.,Sun,Yes
55,Man,No.,No.,Utterly wrong.,Sun,No
28,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Perfectly fine.,Snow,Yes
34,Man,Yes.,Yes.,Utterly wrong.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Sun,No
20,Woman,No.,No.,Utterly wrong.,Snow,Yes
29,Woman,Yes.,No.,Utterly wrong.,Cloudy,No
46,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
37,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
28,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
55,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,Yes.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
24,Woman,No.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
39,Man,No.,No.,Utterly wrong.,Cloudy,Yes
